"Classifier","Project","AG","RA","NA","NA"
"RF","activemq",0.822919595594584,"100%",0.822919595594584,"100%"
"","camel",0.850069984485409,"100%",0.850069984485409,"100%"
"","geronimo",0.887740353192961,"100%",0.887740353192961,"100%"
"LR","activemq",0.823016137117672,"100%",0.823016137117672,"100%"
"","camel",0.840071398777534,"100%",0.840071398777534,"100%"
"","geronimo",0.858913642840759,"100%",0.858913642840759,"100%"
"NB","activemq",0.781722479971375,"100%",0.781722479974,"100%"
"","camel",0.815328314344622,"100%",0.815328314344622,"100%"
"","geronimo",0.843948026304093,"100%",0.843948026304093,"100%"
