"Classifier","Project","In-dup","Un-dup","ratio"
"RF","ActiveMQ","0.56","0.69","23%"
"","Camel","0.55","0.73","33%"
"","Derby","0.51","0.51"," 0%"
"","Geronimo","0.63","0.81","29%"
"","HBase","0.56","0.74","32%"
"","Hadoop C.","0.71","0.75"," 6%"
"","Openjpa","0.47","0.48"," 2%"
"","Pig","0.46","0.70","52%"
"LR","ActiveMQ","0.55","0.71","29%"
"","Camel","0.52","0.74","42%"
"","Derby","0.47","0.49"," 4%"
"","Geronimo","0.56","0.78","39%"
"","HBase","0.47","0.79","68%"
"","Hadoop C.","0.56","0.74","32%"
"","Openjpa","0.41","0.43"," 5%"
"","Pig","0.46","0.74","61%"
"NB","ActiveMQ","0.49","0.64","31%"
"","Camel","0.46","0.67","46%"
"","Derby","0.47","0.47"," 0%"
"","Geronimo","0.59","0.78","32%"
"","HBase","0.56","0.78","39%"
"","Hadoop C.","0.62","0.75","21%"
"","Openjpa","0.46","0.47"," 2%"
"","Pig","0.55","0.79","44%"
