"Classifier","Project","Old","New","ratio"
"RF","ActiveMQ","0.75","0.77"," 3%"
"","Camel","0.81","0.82"," 1%"
"","Hadoop C.","0.75","0.75"," 0%"
"","Geronimo","0.84","0.85"," 1%"
"","HBase","0.80","0.81"," 1%"
"","Pig","0.77","0.79"," 3%"
"LR","ActiveMQ","0.77","0.78"," 1%"
"","Camel","0.82","0.83"," 1%"
"","Hadoop C.","0.75","0.76"," 1%"
"","Geronimo","0.81","0.82"," 1%"
"","HBase","0.81","0.79","-2%"
"","Pig","0.77","0.79"," 3%"
"NB","ActiveMQ","0.74","0.75"," 1%"
"","Camel","0.80","0.81"," 1%"
"","Hadoop C.","0.71","0.73"," 3%"
"","Geronimo","0.81","0.82"," 1%"
"","HBase","0.76","0.78"," 3%"
"","Pig","0.73","0.76"," 4%"
